"Latest: Time (s)";"Latest: Potential (V)"
0,548;0,00335693359375
0,549;-0,00274658203125
0,55;0,00335693359375
0,551;-0,00274658203125
0,552;-0,00274658203125
0,553;-0,00274658203125
0,554;0,00335693359375
0,555;-0,00274658203125
0,556;0,00335693359375
0,557;0,00335693359375
0,558;0,00335693359375
0,559;-0,00274658203125
0,56;0,00335693359375
0,561;0,00335693359375
0,562;-0,00274658203125
0,563;0,00335693359375
0,564;0,00335693359375
0,565;-0,00274658203125
0,566;-0,00274658203125
0,567;-0,00274658203125
0,568;0,00335693359375
0,569;0,00335693359375
0,57;-0,00274658203125
0,571;-0,00274658203125
0,572;-0,00274658203125
0,573;0,00335693359375
0,574;-0,00274658203125
0,575;-0,00274658203125
0,576;-0,00274658203125
0,577;-0,00274658203125
0,578;0,00335693359375
0,579;0,00335693359375
0,58;0,00335693359375
0,581;-0,00274658203125
0,582;-0,00274658203125
0,583;-0,00274658203125
0,584;-0,00274658203125
0,585;0,00335693359375
0,586;0,00335693359375
0,587;0,00335693359375
0,588;0,00335693359375
0,589;-0,00274658203125
0,59;-0,00274658203125
0,591;0,00335693359375
0,592;-0,00274658203125
0,593;-0,00274658203125
0,594;0,00335693359375
0,595;0,00335693359375
0,596;-0,00274658203125
0,597;0,00335693359375
0,598;-0,00274658203125
0,599;-0,00274658203125
0,6;-0,00274658203125
0,601;-0,00274658203125
0,602;-0,00274658203125
0,603;0,00335693359375
0,604;-0,00274658203125
0,605;-0,00274658203125
0,606;0,00335693359375
0,607;0,00335693359375
0,608;-0,00274658203125
0,609;0,00335693359375
0,61;-0,00274658203125
0,611;0,00335693359375
0,612;0,00335693359375
0,613;-0,00274658203125
0,614;0,00335693359375
0,615;-0,00274658203125
0,616;-0,00274658203125
0,617;-0,00274658203125
0,618;-0,00274658203125
0,619;0,00335693359375
0,62;-0,00274658203125
0,621;-0,00274658203125
0,622;-0,00274658203125
0,623;-0,00274658203125
0,624;-0,00274658203125
0,625;-0,00274658203125
0,626;-0,00274658203125
0,627;-0,00274658203125
0,628;0,00335693359375
0,629;-0,00274658203125
0,63;0,00335693359375
0,631;0,00335693359375
0,632;0,00335693359375
0,633;0,00335693359375
0,634;-0,00274658203125
0,635;0,00335693359375
0,636;0,00335693359375
0,637;0,00335693359375
0,638;0,00335693359375
0,639;-0,00274658203125
0,64;-0,00274658203125
0,641;-0,00274658203125
0,642;0,00335693359375
0,643;0,00335693359375
0,644;0,00335693359375
0,645;0,00335693359375
0,646;0,00335693359375
0,647;-0,00274658203125
0,648;0,00335693359375
0,649;-0,00274658203125
0,65;-0,00274658203125
0,651;-0,00274658203125
0,652;0,00335693359375
0,653;-0,00274658203125
0,654;0,00335693359375
0,655;-0,00274658203125
0,656;-0,00274658203125
0,657;0,00335693359375
0,658;0,00335693359375
0,659;-0,00274658203125
0,66;-0,00274658203125
0,661;-0,00274658203125
0,662;-0,00274658203125
0,663;-0,00274658203125
0,664;-0,00274658203125
0,665;-0,00274658203125
0,666;-0,00274658203125
0,667;0,00335693359375
0,668;0,00335693359375
0,669;-0,00274658203125
0,67;0,00335693359375
0,671;0,00335693359375
0,672;-0,00274658203125
0,673;0,00335693359375
0,674;-0,00274658203125
0,675;0,00335693359375
0,676;-0,00274658203125
0,677;0,00335693359375
0,678;0,00335693359375
0,679;0,00335693359375
0,68;-0,00274658203125
0,681;-0,00274658203125
0,682;-0,00274658203125
0,683;-0,00274658203125
0,684;0,00335693359375
0,685;0,00335693359375
0,686;0,00335693359375
0,687;-0,00274658203125
0,688;-0,00274658203125
0,689;-0,00274658203125
0,69;0,00335693359375
0,691;-0,00274658203125
0,692;0,00335693359375
0,693;-0,00274658203125
0,694;-0,00274658203125
0,695;-0,00274658203125
0,696;0,00335693359375
0,697;0,00335693359375
0,698;-0,00274658203125
0,699;-0,00274658203125
0,7;-0,00274658203125
0,701;-0,00274658203125
0,702;-0,00274658203125
0,703;0,00335693359375
0,704;0,00335693359375
0,705;0,00335693359375
0,706;0,00335693359375
0,707;-0,00274658203125
0,708;-0,00274658203125
0,709;-0,00274658203125
0,71;0,00335693359375
0,711;0,00335693359375
0,712;0,00335693359375
0,713;-0,00274658203125
0,714;0,00335693359375
0,715;-0,00274658203125
0,716;-0,00274658203125
0,717;-0,00274658203125
0,718;0,00335693359375
0,719;0,00335693359375
0,72;-0,00274658203125
0,721;-0,00274658203125
0,722;-0,00274658203125
0,723;0,00335693359375
0,724;-0,00274658203125
0,725;-0,00274658203125
0,726;-0,00274658203125
0,727;0,00335693359375
0,728;-0,00274658203125
0,729;-0,00274658203125
0,73;0,00335693359375
0,731;-0,00274658203125
0,732;-0,00274658203125
0,733;-0,00274658203125
0,734;-0,00274658203125
0,735;0,00335693359375
0,736;-0,00274658203125
0,737;0,00335693359375
0,738;0,00335693359375
0,739;-0,00274658203125
0,74;0,00335693359375
0,741;0,00335693359375
0,742;-0,00274658203125
0,743;-0,00274658203125
0,744;-0,00274658203125
0,745;0,00335693359375
0,746;-0,00274658203125
0,747;0,00335693359375
0,748;0,00335693359375
0,749;0,00335693359375
0,75;0,00335693359375
0,751;-0,00274658203125
0,752;-0,00274658203125
0,753;-0,00274658203125
0,754;0,00335693359375
0,755;0,00335693359375
0,756;0,00335693359375
0,757;-0,00274658203125
0,758;-0,00274658203125
0,759;0,00335693359375
0,76;0,00335693359375
0,761;0,00335693359375
