"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.152669380E-1,1.818246126E0,1.168893814E0,6.768397808E0,7.105177029E0
6.176565210E-1,1.839781523E0,1.156929731E0,6.588637352E0,6.937825640E0
6.200469380E-1,5.395814776E-1,-2.195414752E-1,1.368485165E1,1.369724466E1
6.224381360E-1,-8.177471161E-1,-9.786644578E-1,1.819053650E1,1.823518886E1
6.248285000E-1,1.037587762E0,1.266999602E0,6.236892223E0,6.448309931E0
6.272180840E-1,1.154836059E0,1.333998680E0,5.415555954E0,5.695739205E0
6.296085520E-1,5.898307562E-1,6.876373887E-1,9.485447884E0,9.528613071E0
6.319996980E-1,-2.024926096E-1,1.680957973E-1,1.348864079E1,1.349120787E1
6.343901150E-1,3.553341627E-1,1.109073281E0,7.974978924E0,8.059565419E0
6.367796980E-1,4.893322289E-1,1.176072359E0,6.634100914E0,6.755285868E0
6.391701150E-1,2.003988996E-2,5.895316601E-1,1.069232845E1,1.070858706E1
6.415613130E-1,4.636093974E-2,7.498508096E-1,9.658030510E0,9.687206971E0
6.439516770E-1,1.950150430E-1,8.841479421E-1,7.838288784E0,7.890406803E0
6.463412610E-1,1.016949639E-1,5.368895531E-1,9.535996437E0,9.551639666E0
6.487316770E-1,7.537391037E-2,5.321039557E-1,9.610174179E0,9.625189016E0
6.511228750E-1,1.806581169E-1,6.278168559E-1,8.678768158E0,8.703321670E0
6.535132920E-1,1.878365725E-1,5.201398134E-1,8.946763992E0,8.963839241E0
6.559028230E-1,1.375873089E-1,4.148556292E-1,9.916455269E0,9.926082841E0
6.582932920E-1,2.141576260E-1,5.321039557E-1,9.002098083E0,9.020352987E0
6.606844900E-1,2.524427772E-1,3.717848063E-1,9.710672379E0,9.721065237E0
6.630748540E-1,2.787638307E-1,3.095714152E-1,9.708279610E0,9.717213423E0
6.654644380E-1,3.242274821E-1,3.622135222E-1,9.629316330E0,9.641579491E0
6.678549070E-1,3.625126183E-1,3.239283562E-1,9.885348320E0,9.897295408E0
6.702460520E-1,4.223332107E-1,3.239283562E-1,9.655637741E0,9.670296537E0
6.726364690E-1,5.754738450E-1,2.808575630E-1,9.985847473E0,1.000635802E1
6.750260000E-1,7.408776879E-1,2.330010980E-1,1.005523872E1,1.008518790E1
6.774164690E-1,8.533403873E-1,5.324030295E-2,1.070907784E1,1.074315468E1
6.798076150E-1,9.370891452E-1,1.345962733E-1,1.019671440E1,1.024056819E1
6.821980320E-1,9.993025661E-1,1.704886109E-1,9.973882675E0,1.002526846E1
6.845876150E-1,1.090229869E0,1.130608693E-1,1.012014389E1,1.017932691E1
6.869780320E-1,1.130907774E0,6.520441920E-2,1.029242706E1,1.035457671E1
6.893692290E-1,1.140479088E0,9.631111473E-2,1.019671440E1,1.026074817E1
6.917596460E-1,1.222134113E0,7.716853172E-2,9.906884193E0,9.982280360E0
6.941491770E-1,1.195813060E0,-3.529413417E-2,1.044796085E1,1.051623034E1
6.965396460E-1,1.198205948E0,8.195417374E-2,1.011535835E1,1.018640705E1
6.989307920E-1,1.226919770E0,2.183450609E-1,9.669994354E0,9.749963974E0
7.013212090E-1,1.205384374E0,2.015953064E-1,9.485447884E0,9.563854542E0
7.037107920E-1,1.173978567E0,1.441675574E-1,9.997811317E0,1.006753401E1
7.061012090E-1,1.130907774E0,8.913264424E-2,1.024457073E1,1.030718810E1
7.084924070E-1,1.075872898E0,1.345962733E-1,1.008156013E1,1.013969790E1
7.108827710E-1,1.075872898E0,2.497508675E-1,9.914062500E0,9.975395393E0
7.132723540E-1,9.658030272E-1,1.513460279E-1,1.030199909E1,1.034827843E1
7.156628230E-1,9.562317729E-1,2.183450609E-1,1.093161011E1,1.097552520E1
7.180539690E-1,9.634101987E-1,4.435695112E-1,1.014885807E1,1.020412825E1
7.204443860E-1,9.801599979E-1,5.057829022E-1,9.775279045E0,9.837307069E0
7.228339170E-1,9.370891452E-1,3.358924687E-1,1.055085278E1,1.059770985E1
7.252243860E-1,8.772686124E-1,2.353939265E-1,1.140568829E1,1.144179775E1
7.276155840E-1,8.605188727E-1,4.674977362E-1,1.051496029E1,1.056046574E1
7.300059480E-1,8.533403873E-1,5.919244885E-1,9.744172096E0,9.799359890E0
7.323955320E-1,9.083753228E-1,5.464608669E-1,1.035464096E1,1.040876336E1
7.347859480E-1,9.299107194E-1,6.326025128E-1,1.079282665E1,1.085126845E1
7.371771460E-1,9.897312522E-1,5.225326419E-1,1.084307575E1,1.090068347E1
7.395675630E-1,1.023230791E0,5.847460628E-1,1.032114124E1,1.038820898E1
7.419570940E-1,1.032802105E0,7.259225845E-1,9.949954987E0,1.002971824E1
7.443475630E-1,1.066301584E0,7.522436380E-1,9.940383911E0,1.002567214E1
7.467387090E-1,1.099801064E0,6.972087026E-1,1.022782135E1,1.031038272E1
7.491291250E-1,1.152443171E0,6.756733060E-1,1.025414276E1,1.034079801E1
7.515187090E-1,1.191027522E0,5.344967842E-1,1.055803108E1,1.063843286E1
7.539091250E-1,1.191027522E0,3.358924687E-1,1.065165043E1,1.072329367E1
7.563003230E-1,1.222134113E0,3.000001311E-1,1.029721355E1,1.037382373E1
7.586907400E-1,1.191027522E0,3.837489188E-1,9.789635658E0,9.869284478E0
7.610802710E-1,1.200598717E0,1.824527234E-1,9.658030510E0,9.734078262E0
7.634707400E-1,1.238883972E0,2.691925503E-2,1.025414276E1,1.032874639E1
7.658618860E-1,1.260419369E0,-4.725824669E-2,1.044556808E1,1.052144396E1
7.682523020E-1,1.274776220E0,-2.865405083E-1,1.063460159E1,1.071456536E1
7.706418860E-1,1.255633712E0,-2.745763958E-1,1.041446114E1,1.049347459E1
7.730323020E-1,1.258026481E0,-4.184448719E-1,1.000498962E1,1.009244986E1
7.754235000E-1,1.274776220E0,-4.878367186E-1,9.835099220E0,9.929361296E0
7.778138650E-1,1.341775298E0,-5.380859971E-1,1.002891827E1,1.013257613E1
7.802034480E-1,1.408774376E0,-7.821539044E-1,1.114457130E1,1.126045645E1
7.825939170E-1,1.267597795E0,-5.428716540E-1,1.039053345E1,1.048163628E1
7.849850630E-1,1.200598717E0,-4.136592150E-1,9.358628273E0,9.444388513E0
7.873754790E-1,1.336989641E0,-8.204390407E-1,1.085743237E1,1.097016404E1
7.897650630E-1,1.363310695E0,-7.869395614E-1,1.048385334E1,1.060137117E1
