"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.058710708E0,5.366340637E-1,-1.104433319E1,8.807684326E-1,1.109238589E1
2.068653708E0,5.339396667E-1,-1.060140427E1,8.408015442E-1,1.064808956E1
2.078597708E0,5.486091614E-1,-1.016790573E1,8.116122437E-1,1.021498866E1
2.088540708E0,5.372328186E-1,-9.745184784E0,7.735913086E-1,9.790591866E0
2.098483708E0,5.390290833E-1,-9.320068817E0,7.554789734E-1,9.366161625E0
2.108427708E0,5.276527405E-1,-8.884025574E0,7.203021240E-1,8.928782837E0
2.118370708E0,5.032534790E-1,-8.398135986E0,7.018904114E-1,8.442428694E0
2.128313708E0,4.682263184E-1,-7.914491730E0,6.815327454E-1,7.957568857E0
2.138256708E0,4.601431274E-1,-7.488777008E0,6.578819275E-1,7.531687819E0
2.148200708E0,4.438270569E-1,-7.078330536E0,6.174659729E-1,7.119059619E0
2.158143708E0,4.191284180E-1,-6.712491302E0,6.137237549E-1,6.753507605E0
2.168086708E0,4.043092346E-1,-6.382876740E0,5.908213806E-1,6.422900539E0
2.178030708E0,3.873944092E-1,-6.060596924E0,5.713618469E-1,6.099783919E0
2.187973708E0,3.510200500E-1,-5.712121582E0,5.724096680E-1,5.751452066E0
2.197916708E0,3.320095825E-1,-5.362598419E0,5.372328186E-1,5.399658440E0
2.207859708E0,3.034190369E-1,-5.054089966E0,5.435197449E-1,5.092278685E0
2.217803708E0,2.853067017E-1,-4.827161865E0,4.915777588E-1,4.860508233E0
2.227746708E0,2.552192688E-1,-4.619543610E0,4.682263184E-1,4.650221062E0
2.237689708E0,2.390528870E-1,-4.484524384E0,4.583468628E-1,4.514220539E0
2.247632708E0,2.227368164E-1,-4.350253601E0,4.351451111E-1,4.377632848E0
2.257576708E0,2.167492676E-1,-4.232448578E0,4.141886902E-1,4.258186642E0
2.267519708E0,2.065704346E-1,-4.123624878E0,3.995191956E-1,4.148080166E0
2.277462708E0,1.808239746E-1,-4.045337677E0,4.074526978E-1,4.069824558E0
2.287406708E0,1.883084106E-1,-4.018244019E0,3.838018799E-1,4.040921793E0
2.297349708E0,1.779798889E-1,-4.046684875E0,3.730242920E-1,4.067736772E0
2.307292708E0,1.646575928E-1,-4.150568848E0,3.703298950E-1,4.170309115E0
2.317235708E0,1.637594604E-1,-4.286486206E0,3.782633972E-1,4.306258742E0
2.327179708E0,1.594184875E-1,-4.431983643E0,3.887416077E-1,4.451855040E0
2.337122708E0,1.604663086E-1,-4.583318939E0,3.947291565E-1,4.603082993E0
2.347065708E0,1.740879822E-1,-4.743635559E0,4.044589233E-1,4.764028963E0
2.357009708E0,1.989363098E-1,-4.929548950E0,4.079017639E-1,4.950395172E0
2.366952708E0,2.180964661E-1,-5.213358765E0,4.129911804E-1,5.234237040E0
2.376895708E0,2.421963501E-1,-5.517675934E0,4.433779907E-1,5.540757243E0
2.386838708E0,2.794688416E-1,-5.850733337E0,4.707710266E-1,5.876292094E0
2.396782708E0,3.146456909E-1,-6.210734711E0,4.872367859E-1,6.237758190E0
2.406725708E0,3.378474426E-1,-6.573879547E0,5.246589661E-1,6.603430943E0
2.416668708E0,3.709286499E-1,-6.918612671E0,5.595364380E-1,6.951105695E0
2.426612708E0,4.352947998E-1,-7.275320892E0,5.872288513E-1,7.311950039E0
2.436555708E0,4.924758911E-1,-7.682474213E0,6.349795532E-1,7.724386161E0
2.446498708E0,5.291496277E-1,-8.127349091E0,6.960525513E-1,8.174245636E0
2.456441708E0,5.815406799E-1,-8.595575409E0,7.671546936E-1,8.649313990E0
2.466385708E0,6.111790466E-1,-9.062155151E0,8.255332947E-1,9.120180976E0
2.476328708E0,6.303392029E-1,-9.519603882E0,8.964857483E-1,9.582477356E0
2.486271708E0,6.727011108E-1,-9.968670044E0,9.376501465E-1,1.003524275E1
2.496215708E0,6.891668701E-1,-1.038091278E1,9.659413147E-1,1.044850916E1
2.506158708E0,6.965016174E-1,-1.080183746E1,1.007704468E0,1.087107517E1
2.516101708E0,6.971003723E-1,-1.123892853E1,1.039139099E0,1.130837183E1
2.526044708E0,7.140151978E-1,-1.169577850E1,1.079704742E0,1.176719231E1
2.535988708E0,6.927593994E-1,-1.214215027E1,1.091679840E0,1.221079414E1
2.545931708E0,6.807843018E-1,-1.257011032E1,1.107995911E0,1.263719889E1
2.555874708E0,6.746470642E-1,-1.295885193E1,1.108145599E0,1.302363155E1
2.565818708E0,6.867718506E-1,-1.330747696E1,1.123713226E0,1.337248406E1
2.575761708E0,6.616241455E-1,-1.361493759E1,1.104104004E0,1.367564689E1
